idhog,idper,estrato,comuna,sexo,edad,educ,ascendencia,salud,pobre,ingreso
2015001005,1,M ,9,H,35,14,BLANCA     ,NO,NO,43554
2015001010,2,M ,11,M,64,16,BLANCA     ,NO,NO,46546
2015001018,1,A ,8,H,30,14,BLANCA     ,NO,NO,32215
2015001018,2,A ,8,M,29,16,BLANCA     ,NO,NO,29615
2015001024,1,MA,5,M,32,13,BLANCA     ,NO,NO,28553
2015001025,3,M ,11,H,22,6,BLANCA     ,NO,SI,14546
2015001027,1,MA,16,M,42,15,BLANCA     ,NO,NO,24546
2015001027,2,MA,16,H,39,13,BLANCA     ,NO,NO,21546
2015001028,2,B ,14,M,29,11,OTRA       ,NO,NO,28000
2015001033,2,MA,2,H,63,18,OTRA       ,NO,NO,14444
2015001034,1,M ,6,M,46,9,BLANCA     ,NO,NO,28554
2015001034,2,M ,6,H,40,9,BLANCA     ,NO,NO,35554
2015001037,3,B ,9,H,27,8,BLANCA     ,NO,NO,23553
2015001041,1,M ,9,H,55,12,BLANCA     ,NO,NO,52078
2015001041,2,M ,9,M,50,11,BLANCA     ,NO,NO,16554
2015001043,1,M ,3,H,59,10,BLANCA     ,NO,NO,46554
2015001043,3,M ,3,H,33,15,BLANCA     ,NO,NO,54554
2015001043,4,M ,3,M,28,16,BLANCA     ,NO,NO,23054
2015001047,1,M ,2,H,30,19,BLANCA     ,NO,NO,29546
2015001047,2,M ,2,M,29,15,BLANCA     ,NO,NO,51854
2015001054,1,M ,4,M,24,11,BLANCA     ,NO,NO,19046
2015001054,2,M ,4,H,29,10,BLANCA     ,NO,NO,32546
2015001058,1,M ,14,H,38,18,BLANCA     ,NO,NO,48561
2015001059,1,M ,1,H,49,15,BLANCA     ,NO,NO,71554
2015001059,2,M ,1,M,47,12,BLANCA     ,NO,NO,31337
2015001060,1,MA,2,H,40,18,BLANCA     ,NO,NO,45554
2015001062,1,MB,13,H,40,7,BLANCA     ,NO,NO,30000
2015001080,1,MA,5,M,50,19,BLANCA     ,NO,NO,65799
2015001080,2,MA,5,H,27,11,BLANCA     ,NO,NO,17153
2015001081,1,M ,1,M,59,12,BLANCA     ,NO,NO,19546
2015001081,3,M ,1,M,28,18,BLANCA     ,NO,NO,21546
2015001083,1,M ,6,M,34,21,BLANCA     ,NO,NO,31546
2015001089,3,A ,5,H,29,18,BLANCA     ,NO,NO,56753
2015001091,1,M ,3,H,29,12,BLANCA     ,NO,NO,20000
2015001091,2,M ,3,M,28,12,BLANCA     ,NO,NO,36554
2015001095,1,MA,5,H,30,19,BLANCA     ,NO,NO,29618
2015001095,2,MA,5,H,32,15,BLANCA     ,NO,NO,33554
2015001102,2,MA,6,M,50,9,BLANCA     ,SI,NO,18000
2015001108,1,M ,11,M,31,12,BLANCA     ,NO,SI,13546
2015001110,1,M ,13,H,32,6,BLANCA     ,NO,NO,25033
2015001119,1,A ,5,M,34,18,BLANCA     ,NO,NO,21553
2015001119,2,A ,5,H,33,18,BLANCA     ,NO,NO,31553
2015001123,1,M ,11,M,46,20,BLANCA     ,NO,NO,83553
2015001128,1,MB,9,H,37,10,AFRO       ,NO,NO,23646
2015001131,1,M ,3,M,30,18,BLANCA     ,NO,NO,36546
2015001131,2,M ,3,H,31,15,BLANCA     ,NO,NO,23546
2015001138,1,B ,9,H,46,12,BLANCA     ,SI,NO,12246
2015001143,1,MA,16,H,72,10,BLANCA     ,NO,NO,17554
2015001144,2,MB,9,H,50,8,BLANCA     ,NO,NO,49054
2015001144,3,MB,9,M,20,14,BLANCA     ,NO,NO,31554
2015001148,1,M ,3,M,29,13,BLANCA     ,NO,NO,17546
2015001148,2,M ,3,H,28,14,BLANCA     ,NO,NO,21546
2015001155,1,MB,11,M,42,10,BLANCA     ,NO,NO,13554
2015001155,2,MB,11,H,45,11,BLANCA     ,NO,NO,41554
2015001158,1,MB,9,M,36,8,BLANCA     ,SI,SI,16554
2015001160,1,MB,17,M,50,19,BLANCA     ,NO,NO,17553
2015001160,2,MB,17,M,23,13,BLANCA     ,NO,NO,25553
2015001160,3,MB,17,M,21,9,BLANCA     ,NO,NO,25553
2015001167,1,MA,2,H,47,18,BLANCA     ,NO,NO,27548
